month,treasury,supply,floor,lp_tokens,lp_stable,spot
0,1000000,1000000000,0.00100000000000000002,750000000,750000,0.00100000000000000002
1,1050000,953125000,0.00110163934426229506,703125000,800000,0.0011377777777777777
2,1100000,911764705.882352948,0.00120645161290322588,661764705.882352948,850000,0.00128444444444444439
3,1150000,875000000,0.00131428571428571423,625000000,900000,0.00144000000000000009
4,1200000,842105263.157894731,0.00142500000000000005,592105263.157894731,950000,0.00160444444444444436
5,1250000,812500000,0.00153846153846153846,562500000,1000000,0.00177777777777777786
6,1300000,785714285.714285731,0.00165454545454545455,535714285.714285731,1050000,0.00195999999999999994
7,1350000,761363636.363636374,0.00177313432835820889,511363636.363636374,1100000,0.00215111111111111102
8,1400000,739130434.782608747,0.00189411764705882347,489130434.782608688,1150000,0.00235111111111111111
9,1450000,718750000,0.00201739130434782591,468750000,1200000,0.00256000000000000021
10,1500000,700000000,0.00214285714285714296,450000000,1250000,0.00277777777777777788
11,1550000,682692307.692307711,0.00227042253521126747,432692307.692307711,1300000,0.00300444444444444413
12,1600000,666666666.666666746,0.00239999999999999979,416666666.666666687,1350000,0.00323999999999999982
13,1650000,651785714.285714388,0.00253150684931506813,401785714.285714269,1400000,0.00348444444444444452
14,1700000,637931034.48275876,0.00266486486486486448,387931034.482758641,1450000,0.00373777777777777737
15,1750000,625000000.000000119,0.00279999999999999954,375000000,1500000,0.00400000000000000008
16,1800000,612903225.806451797,0.00293684210526315697,362903225.806451619,1550000,0.00427111111111111094
17,1850000,601562500.000000238,0.00307532467532467416,351562500,1600000,0.00455111111111111081
18,1900000,590909090.909091234,0.00321538461538461344,340909090.909090936,1650000,0.00483999999999999968
19,1950000,580882352.941176772,0.00335696202531645402,330882352.941176474,1700000,0.00513777777777777757
20,2000000,571428571.428571701,0.00349999999999999834,321428571.428571403,1750000,0.00544444444444444446
21,2050000,562500000.000000238,0.00364444444444444278,312500000,1800000,0.00576000000000000036
22,2100000,554054054.05405426,0.00379024390243902281,304054054.054054081,1850000,0.00608444444444444354
23,2150000,546052631.578947544,0.00393734939759036052,296052631.578947365,1900000,0.00641777777777777746
24,2200000,538461538.461538553,0.0040857142857142854,288461538.461538434,1950000,0.00676000000000000038
25,2250000,531250000.000000119,0.00423529411764705759,281250000,2000000,0.00711111111111111145
26,2300000,524390243.902439117,0.00438604651162790606,274390243.902438998,2050000,0.00747111111111111153
27,2350000,517857142.857142985,0.00453793103448275718,267857142.857142866,2100000,0.00783999999999999975
28,2400000,511627906.976744294,0.0046909090909090902,261627906.976744175,2150000,0.00821777777777777871
29,2450000,505681818.181818306,0.004844943820224718,255681818.181818187,2200000,0.00860444444444444408
30,2500000,500000000.000000119,0.00499999999999999924,250000000,2250000,0.00899999999999999932
31,2550000,494565217.391304493,0.00515604395604395485,244565217.391304344,2300000,0.00940444444444444444
32,2600000,489361702.127659738,0.00531304347826086747,239361702.127659589,2350000,0.0098177777777777777
33,2650000,484375000.000000119,0.00547096774193548286,234375000,2400000,0.0102400000000000008
34,2700000,479591836.734694004,0.00562978723404255164,229591836.734693885,2450000,0.0106711111111111104
35,2750000,475000000.000000119,0.00578947368421052488,225000000,2500000,0.0111111111111111115
36,2800000,470588235.294117808,0.00594999999999999783,220588235.294117659,2550000,0.0115599999999999991
